Date,Time_A/P,Building,P(epsi) or C(anteen),Machine ID/ Asset #,Problem,Date Reported,Who Called it In?,Pepsi Confirm  # or n/a,Name of Person at P or C reported to,Other Notes / Service Deadline
6/17/19,8:27 AM,Armory,P,11005822,"Very noisy, tech couldn't fix, apparently",6/17/19,Cate,119126252,Day has dispatched.,Tech is waiting on parts.
6/17/19,1:15 PM,UMC,P,2580456,"GFCI had been tripped, verifying last service call",6/17/19,Cate,119164291,Day has dispatched.,eob 6/18/19
6/17/19,1:25 PM,CUBS,P,10963775,"Not accepting bills, does accept coins",6/17/19,Cate,119164389,Day has dispatched.,eob 6/18/19
6/17/19,2:53 PM,Chemistry,C,67349,Appears to be turned off,6/17/19,Cate,n/a,Jeanne has dispatched,
6/17/19,3:00 PM,Atlas,C,66438,F4 Donuts not dispensing,6/17/19,Cate,n/a,Essie has dispatched,
6/17/19,3:15 PM,Ketchum,C,67829,101 Beef jerky not dispensing,6/17/19,Cate,n/a,Essie has dispatched,
6/17/19,3:30 PM,ENVD,C,69069,101 Beef jerky not dispensing,6/17/19,Cate,n/a,Jeanne has dispatched,
6/18/19,11:00 AM,Leeds,C,67764,101 Beef jerky not dispensing,6/18/19,Cate,n/a,Jeanne has dispatched,
6/18/19,11:00 AM,Leeds,P,8051835,Arm not moving for card  transactions,6/18/19,Cate,119181591,Travis has dispatched,eob 6/19/19
6/18/19,3:45 PM,Police,both,n/a,Called dispatch 2-6666 to find contact person for refund bank.,6/18/19,Cate,n/a,Transferred to Russ Pasquale; left voicemail.,"Can't find that name in directory, maybe I heard it wrong. Found admin #: 2-8168"
6/19/19,2:15 PM,UMC,P,2580456,"Not accepting bills, tried 3 different ones",6/19/19,Cate,119206317,Rosanne has dispatched. Called Andrew to add info.,eob 6/20/19
6/19/19,2:30 PM,Chey-Arapaho,P,2202753,"Stole money, unknown issue; ""cash only"" message, but cash doesn't work, either.",6/19/19,Cate,119206333,Rosanne has dispatched. Called Andrew to add info.,"2nd customer emailed; called to get more details. Front desk agreed to put up ""out of order"" sign eob 6/20/19"
6/21/19,9:39 AM,DLC,P,11142333,"Samsung Pay stuck authorizing 6/19, 2nd attempt worked, appears both charges went through.",6/21/19,Cate,119244200,Eddie has dispatched (from overflow call center: 12 minute call!),"Email received w/URL, waiting for Scott & Emil/Tristy to approve use of this account. Emails received include confirm #."
6/21/19,1:20 PM,DLC,P,11142333,Diet Pepsi completely sold out,6/21/19,Cate,n/a,Maria has dispatched,
6/26/19,1:17 PM,ARC,C ,66207,"Product not dropping, trapped",6/26/19,Linda,n/a,Jeanne has dispatched,
6/24/19,5:52 PM,Chey-Arapaho,C,84069,Light on,6/26/19,Cate,n/a,Jeanne has dispatched,
6/24/19,5:52 PM,Chey-Arapaho,P,2202753,Failing to dispense,6/26/19,Cate,119307928,Lincoln has dispatched,eob 6/27/19
6/25/19,2:15 PM,UMC,C,67285,Not accepting coins,6/25/19,Jeanne,n/a,Jeanne @ Canteen updated us,after taking the call @ Canteen
6/26/19,8:07 PM,Chey-Arapaho,P,2202753,Failing to dispense,6/27/19,Cate,119328815,Debora has followed up on previous call,"Previous call closed, opened new one, eob 6/28/19"
6/27/19,2:05 PM,Leeds,C,67764,Not accepting cards,6/27/19,Cate,n/a,emailed canteen,Jeanne received 2:17p 6/27/19
6/27/19,2:06 PM,Leeds,P,11139703,"Drink fell to bottom, can't dispense",6/27/19,Linda,(lost),"Linda called it in, it didn't get sav ed because we were both taking ",calls simutaneously.
6/27/19,5:20 PM,Rec Center,C,68683,May be leaking,6/27/19,Cate,n/a,emailed canteen,
6/27/19,5:20 PM,Rec Center,P,11569757,Probably leaking (new machine),6/27/19,Cate,119331301,Kyle has dispatched,
6/28/19,1:15 AM,Rec Center,P,10177395,"""Y homing error"", cc reader not working, not taking cash",6/28/19,Linda,119347518,,eob 7/1/19
6/28/19,9:43 AM,Armory,P,11005822,"Jackpotting, bottles leaking from top",6/28/19,Cate,119126252,"Submitted ticket online, reply took 40min.",Last call wasn't closed (this has same confirmation #); tech was waiting for parts. I suggested to Armory to post out of order sign.
6/28/19,8:55 AM,Bear Creek B,C,84140,Out of order,6/28/19,Cate,n/a,Jeanne has dispatched,
7/1/19,1:50 PM,Wardenburg,C,67015,"Not accepting coin, some stuck, won't give change",7/1/19,Cate,n/a,"Lena has info, will tell Jeanne",
7/1/19,8:19 AM,Police,C,66980,Bill acceptor: constant clicking noise,7/1/19,Cate,n/a,Jeanne has dispatched,
6/30/19,4:29 PM,Bear Creek B,C,84140,Not working,7/1/19,Cate,n/a,Jeanne has dispatched,"Tech did fill it on 6/29, new call put in."
7/1/19,9:44 PM,Bear Creek A,P,2564599,Failure to dispense,7/2/19,Cate,119417284,Doreen replied to e-ticket,eob 7/3/19
7/2/19,3:00 PM,CUBS,P,10963775,"Blk Cherry KS bowed up, maybe frozen",7/2/19,Cate,n/a,Maria has dispatched,"Called fill line, she'll submit it for repair"
7/5/19,4:25 PM,CUBS,P,11051329,"Card reader appears to be off, not responding",7/5/19,Cate,119455764,PES ticket sent to wrong email.,eob 7/8/19
7/8/19,9:30 AM,Willard,C,67657,"need refill, soccer camp",7/8/19,Linda,n/a,Will send someone,EOB Tuesday
7/9/19,9:54 PM,Baker,C,67462,Not dispensing,7/9/19,Cate,n/a,Jeanne has dispatched,
7/10/19,9:40 AM,Rec Center,P,11569757,"Muscle Milk ""warm"" front of machine did not feel warm to caller",7/10/19,Linda,119509330,,
7/10/19,11:15 AM,LASP,C,67145/67088,Both Snack machines need to be filled,7/10/19,Kim,n/a,Essie has dispatched,
7/10/19,2:24 PM,Kittredge Central,C,66304,Needs to be refilled,7/10/19,Cate,n/a,Mina has dispatched,Mike Cronstedt will return Mon 7/15! Yay!
7/11/19,9:00 AM,Armory,P,11005822,Scheduled to be replaced 7/16/19,7/11/19,Sierra,n/a,Pepsi called to confirm this,Verified w/building proctor & Scott
7/12/19,9:27 AM,LASP,C,67145,EMPTY,7/12/19,Linda,n/a,Essie will submit,
7/15/19,8:55 AM,Kitt Central,C,84296,Change machine not giving money,7/15/19,Kim,n/a,Essie will submit,
7/13/19,6:45 AM,Chey-Arapaho,P,2202753,"Failure to vend, gave cash change for card transaction",7/15/19,Cate,119577129,"e-ticket 179949, Fabrice confirmed over the phone","Emailed PES, noted this is 5th call since June 9. Call center says eob 7/16/19"
7/15/19,6:53 AM,Chey-Arapaho,C,84069,Not giving change,7/15/19,Cate,n/a,Essie has dispatched,
7/16/19,7:55 AM,Chey-Arapaho,P,2202753,$3.00 extra change will go to Wardenburg,7/16/19,Cate,n/a,Roger Henry @ Wardenburg,Will pick up & add to our bank ASAP.
7/18/19,8:04 AM,Kitt Central,C,84296,Last call not closed out!,7/18/19,Cate,n/a,Jeanne has re-dispatched,
7/18/19,8:29 AM,Libby,P,2665918,HOT product coming out! Syrup all over it,7/18/19,Cate,119640428,Melanie has dispatched,
7/18/19,2:23 PM,Libby,C,66352,"Card reader down, Swedish Fish got stuck",7/18/19,Cate,n/a,Jeanne has dispatched,
7/23/19,11:30 AM,LASP,P,8035818,Not taking Credit Cards,7/23/19,Cate,119704609,Andrea has dispatched,eob 7/24/19
7/24/19,2:45 PM,CUBS,P,11038360,Failure to dispense,7/24/19,Cate,119728492,Camesia has dispatched,eob 7/24/19
7/25/19,4:15 PM,Arnett,C,66253,Jerky stuck against glass above drop bin,7/25/19,Cate,n/a,Jeanne has dispatched,
7/29/19,4:22 AM,ARC,P,7977557,CUPD discovered door open,7/29/19,Cate,119790657,"emailed Scott, spoke w/Andrew; we both issued a service call","7/30/2019; Scott emailed that machine is okay, no loss or damage"
7/28/19,12:21 PM,Bear Creek B,C,84140,"Customer lost $, ""out of order"" now",7/29/19,Cate,n/a,Jeanne has dispatched,
7/29/19,10:19 AM,ARC,P,7977557,"$3 lost, failed to dispense twice",7/29/19,Cate,119790657,"Already called in, info added",7/30/2019
7/30/19,12:10 PM,ARL/CASA,C,67807,LOW IN PRODUCT,7/30/19,Linda,n/a,Essie will submit,
7/30/19,11:34 AM,Humanities,P,11174350,Failure to dispense,7/30/19,Cate,119813823,sent ticket online,"eticket 188713, eob 7/31/19"
7/30/19,11:37 PM,RL-2,C,67281,"Pringles stuck, bottom door jammed",7/30/19,Cate,n/a,Jeanne has dispatched,
7/30/19,9:55 AM,Regent,P,10436458,"Failure to dispense, ""cash only"" appeared after attempt",7/31/19,Cate,119832050,Astra has dispatched,eob 8/1/19
7/31/2019,6:50 PM,,,,,,,,,Waiting for customer to re-contact
8/1/19,2:44 PM,Physics,P,2579752,Failure to dispense,8/1/19,Cate,119857503,Andrew has dispatched,eob 8/2/19
8/1/19,4:25 PM,RL 1,P,10999410,B2 product dropped to bottom,8/1/19,Cate,119858423,Katherine has dispatched,eob 8/2/19
8/7/19,10:40 AM,UMC,P,10356368,Failed to dispense,8/7/19,Cate,119939722,Jerry has dispatched,eob 8/7/19
8/12/19,12:31 PM,Engineering,C,67286,Not accepting quarters,8/12/19,Cate,n/a,Jeanne has dispatched,
8/13/19,4:15 PM,UMC,P,10963775,Stuck authorizing cc,8/13/19,Cate,120026876,Roseanne has dispatched,eob 8/14/19
8/14/19,9:03 AM,Regent,C,67760,Credit card reader not functioning properly,8/14/19,Linda,n/a,Jeanne will dispatch,
8/14/19,3:00 PM,Will Vill East,P,11369598,New assets still empty; need filled ASAP,8/14/19,Cate,n/a,Emailed Scott,Will know tomorrow 8/15/19
8/14/19,2:22 PM,UMC,P,2580456,When will this be moved? (Jimmie),8/14/19,Cate,n/a,Emailed Scott,Will move 8/15/19
8/14/19,2:22 PM,UMC,C,67285,When will this be moved? (Jimmie),8/14/19,Cate,n/a,Emailed Ronda & Jeanne,Will move Monday 8/19/19.
8/16/19,12:00 PM,Wardenburg,C,67015,"1.50 for chips, got .50 back no chips",8/16/19,Linda,n/a,Essie will submit,
8/15/19,10:01 AM,Athens North,P,5609887,Need to move ASAP for carpeting,8/15/19,Cate,n/a,Will be moved Monday 8/19,
8/16/19,2:06 PM,Regent,P,10436458,Credit Cards timing out during authorization,8/16/19,Cate,120088257,LaShanda has dispatched,
8/15/19,10:01 AM,Athens North,C,66370,Need to move ASAP for carpeting,8/16/19,Cate,n/a,Ronda offered Monday 8/19!,
8/16/19,12:30 PM,Wardenburg,P,10772479,Not giving change or dispensing,8/16/19,Cate,120089405,Ticket submitted online,eob 8/19/19
8/16/19,12:30 PM,Wardenburg,C,67015,Not giving change or dispensing,8/16/19,Cate,n/a,Jeanne has dispatched,
8/19/19,2:30 PM,UMC,C,67285,Moved back to cubby by 128B,8/19/19,Cate,n/a,Bruce & Lloyd moved,
8/19/19,2:55 PM,Athens North,C,66370,Moved to community room,8/19/19,Cate,n/a,Bruce & Lloyd moved,
8/19/19,3:37 PM,UMC,P,10356368,Requested move to cubby 128B,8/19/19,Cate,n/a,"Emailed Scott, he confirmed",So Canteen can be safer from rocking.
8/20/19,11:00 AM,Stadium,C,69916,"empty, jeanne got the call",8/20/19,Linda,n/a,Jeanne will send someone,
8/20/19,11:05 AM,Leeds,P,2598156,"not lite up, not working",8/20/19,Linda,120129466,"Jose,. Eob 8/21/19",
8/20/19,11:05 AM,Leeds,P,11139703,"product kept spinning, not dispensed",8/20/19,Linda,120129487,Jose has dispatched,Eob 8/21/19
8/20/19,5:24 pp,UMC,P,11319620,"Low product, requested fill",8/20/19,Cate,n/a,Marina answered,
8/21/19,12:59 PM,Baker,C ,67462,"buttons lite up, no response from machie",8/21/19,Linda,n/a,,Tech.will be up 8/22/19
8/21/19,5:50 PM,Libby,P,2665918,Stole $3 cash,8/21/19,Cate,120159872,Katherine has dispatched,
8/21/19,12:00 PM,CUBS,P,10963775,"Not dispensing for any pmt, no change out",8/22/19,Cate,120173054,Keenan has dispatched,
8/22/19,3:37 PM,ARC,C,66207,Products keep getting stuck,8/22/19,Cate,n/a,Jeanne confirmed dispatch,Emailed Canteen after hours
8/22/19,1:54 PM,Regent,P,10436458,CC reader still timing out,8/22/19,Cate,120181151,Submitted online ticket,eob 8/23/19
8/23/19,5:30 PM,UMC,P,10356368,"Failure to dispense on CC, cash worked",8/23/19,Cate,120199649,Charles has dispatched,eob 8/26/19; Lloyd M called to state machine is empty to be moved. Scott confirmed move scheduled 8/27/19
8/23/19,9:18 PM,Athens North,P,5609887,"Took 3 $1 coins, was sold out, didn't give back (machine is empty for future move)",8/24/19,Cate,120203307,Trisha has dispatched,eob 8/26/19
8/25/19,12:15 PM,Andrews,P,8400764,2x cc used bottled water not dispensed,8/25/19,Linda,120205562,Anna will dispatch,
8/26/19,11:12 AM,RL1,P,10999410,"Elevator upside-down, cc purchase",8/26/19,Linda,120215623,,eob 8/27/19
8/26/19,12:12 PM,UMC,P,11319620,"Bottle stuck, preventing dispense",8/26/19,Cate,120217509,Juan has dispatched,eob 8/27/19
8/26/19,9:46 AM,Wardenburg,P,10772479,"Move requested by Maria Wilson, need to look at space & take measurements.",8/26/19,Maria emailed us,n/a,Cate will go out & take measurements,New area may be rm. 143
8/27/19,8:20 AM,Leeds,P,2598156,"Lights out, machine pulled out, plugged in.  Tried purchase and nothing",8/27/19,Kim,120232193,"Fabrice @ Pepsi 1-800, eob 8/27/19",Brenda (51665) called in and would like a CB for issue and resolution status update.
8/28/19,12:13 PM,Chey-Arapaho,P,2202753,Failure to dispense blue gatorade,8/28/19,Cate,120266730,Jaquassia has dispatched,eob 8/29/19
8/29/19,11:05 AM,Libby,C,66352,"key selections frozen 140 shows, won't accept pmt",8/29/19,Linda,n/a,Jeanne has dispatched,
8/29/19,2:15 PM,Wardenburg,C,67015,Very low product,8/29/19,Cate,n/a,Essie has dispatched,
8/29/19,3:05 PM,UMC,P,11319620,Needs fill desperately!,8/29/19,Cate,n/a,Erica has dispatched,"Due to weekend, may not get filled!"
8/29/19,3:10 PM,UMC,P,10356368,Still empty after move!!,8/29/19,Cate,n/a,Erica has dispatched,"Due to weekend, may not get filled!"
8/29/19,3:26 PM,Libby,C,84070,Not working,8/29/19,Cate,n/a,Jeanne has dispatched,
8/29/19,3:26 PM,Willard,C,84099,Not working,8/29/19,Cate,n/a,Jeanne has dispatched,
8/29/19,11:05 AM,Math,C,67763,"Put cash in, machine turned off",8/29/19,Cate,n/a,Steve has dispatched,Steve didn't seem to know the location.
8/29/19,6:15 PM,Leeds,P,2598156,Cate called to check in on this 8/27 issue,8/12/19,Cate,120232193,Advised parts were ordered,for a replacement lock. Emailed Brenda
8/29/19,11:12 PM,Bear Creek B,P,10685672,"$5 credit, wont accept any payment",8/30/19,Cate,120308825,Katherine has dispatched,eob 9/2/19
8/30/19,11:34 AM,Education,C,67358,B1 required 2 pmts to dispence,8/30/19,Cate,n/a,Jeanne has dispatched,
8/30/19,1:30 PM,Engineering,P,11571358,"Exact change only, cash only messages",8/30/19,Cate,120308870,Katherine has dispatched,eob 9/2/19
8/30/19,11:34 AM,Leeds,P,2598156,"Still pulled out from wall, needs to be moved back to allow traffic to pass.",8/30/19,Cate,120309015,"Tracy has dispatched, will escalate",eob 9/6/19
9/1/19,12:25 PM,Arnett Hall,C,66253,Snacks are stuck has the door wedged shut,9/1/19,Kim,n/a,Left Message; didn't get dispatched,"Cate called 9/4/19 to confirm dispatch, Jeanne dispatched 1:45 pm"
9/3/19,1:05 PM,Engineering,P,2564607,"Customer put in $1, machine didn't acknowledge or give change back",9/4/19,Cate,120354386,Kimberly has dispatched,eob 9/5/19
9/3/19,2:59 PM,Muenzinger,P,10966321,"Can swipe card, cannot make selection",9/4/19,Cate,120354430,Kimberly has dispatched,"2nd email same issue, diff customer 3:56p on 9/3, eob 9/5/19"
9/4/19,6:00 PM,Kitt Central,P,10224792,Completely empty,9/5/19,Cate,n/a,emailed Scott,could not get through over the phone
9/4/19,7:18 PM,Rec Center,P,10177395,Not accepting card swipes,9/5/19,Cate,120378734,Charles has dispatched,eob 9/6/19
9/6/19,9:08 AM,Koebel,P,8051835,Need product refill,9/6/19,Linda,n/a,Marylou suppt ctr,eob Mon or Tue
9/6/19,10:08 AM,Arnett hall,P,2565308,"PUSH KEY FOR DIET PERPSI, GET MTN DEW RED,REFILL",9/6/19,Linda,120392160,Tamara submitted,
9/6/19,1:30 PM,Aerospace,C,69473,"Rice Krispies Treat stuck, prices not visible inside machine, put square items not in corners at bottom?",9/6/19,Cate,n/a,Essie has dispatched,
9/9/19,12:45 PM,Libby,C,84070,"changer shows out of order, no ID # visable",9/9/19,Linda,n/a,Essie has dispatched,
9/8/19,11:51 PM,Hallett,P,10686190,Card attempt: failure to dispense,9/9/19,Cate,120420513,Pam has dispatched,eob 9/10/19
9/9/19,4:27 PM,Engineering,P,10735615,"Cash & card failed, lost money",9/9/19,Cate,120424165,Keenan has dispatched,eob 9/10/19
9/10/19,9:30 AM,Rec Center,P,11569757,Didn't dispense Muscle Milk,9/10/19,Cate,120441700,Leah has dispatched,9/11/19
9/10/19,12:33 PM,Aden,C,84213,Out of change,9/10/19,Cate,n/a,Jeanne has dispatched,
9/11/19,3:14 PM,Kittredge Central,P,10224792,"""Payment approved: Vending"" no product",9/11/19,Cate,120467094,Roseanne has dispatched,9/12/19
9/12/19,9:38 AM,Leeds,P,11139703,Needs to be moved closer to rest of them,9/12/19,Cate,n/a,Emailed Scott,Completed same day
9/12/19,1:05 AM,Sewall,C,84203,Not working,9/12/19,Linda,n/a,Jeanne will submit issue,
9/16/19,1:45 PM,Bear Creek A,P,2564599,"Failure to dispense 2x, 1 cancel w/ card",9/16/19,Cate,120531661,Julian has dispatched,eob 9/17/19
9/16/19,2:13 PM,Armory,C,68891,"Popcorn stuck twice, card charged twice",9/16/19,Cate,n/a,Jeanne has dispatched,
9/16/19,3:05 PM,CUBS,P,11038360,"Customer cancelled card trans, charged",9/16/19,Cate,n/a,Chelsea confirmed will vanish,
9/17/19,10:18 AM,Chey-Arapaho,P,2202753,"used debit card, starbucks $3.00, no product given",9/17/19,Linda,120547436,Gunny will submit.,
9/17/19,3:34 PM,Computer Center,C,68778,Expired products in the machine,9/17/19,Kim V/Cate,n/a,Reported directly to Cate while on Vending walk,Lori Flora from OIT 24691 called in to vending
9/18/19,1:11 PM,Regent,P,8009991,Failed to dispense on cc first try,9/19/19,Cate,120599974,Amy 3rd party dispatched,Katrina confirmed # later
9/18/19,2:45 PM,Bear Creek A,P,8398873,"Failed to dispense, possible stuck product",9/19/19,Cate,120600146,Amy 3rd party dispatched,Katrina confirmed # later
9/19/19,3:45 PM,Muenzinger,P,10966321,"Ate $5, blue LED blank, no change",9/19/19,Cate,120601125,Katrina has dispatched,eob 9/20/19
9/19/19,8:00 AM,Rec Center,P,10735614,Machine failure arm is stuck energy drink,9/20/19,Kim,120613938,Kendra has dispatched,eob 9/23/19
9/20/19,11:05 AM,LASP,C,67145,Machine need refilled,9/20/19,Kim V.,n/a,Essie will dispatch Monday,eob 9/23/19
9/20/19,12:00 PM,ENVD,Bank,n/a,Bank transferred from Emily L to Caitlyn S,9/20/19,n/a,n/a,Cate confirmed w/both,Emailed vending bank guidelines to ENVD
9/20/19,2:10 PM,Sewall,C,84203,"Spitting bills back out, prob. Empty",9/20/19,Cate,n/a,Jeanne has dispatched,
9/20/19,2:30 PM,Williams Vill. North,P,2564602,Not accepting credit cards,9/20/19,Cate,120621329,Reanna has dispatched,eob 9/23/19
9/20/19,2:50 PM,Farrand,C,84035,Out of change,9/20/19,Cate,n/a,Essie has dispatched,
9/20/19,3:13 PM,Williams Vill. North,P,2565296,Cc attempt; didn't dispense,9/20/19,Cate,120621646,Shayna has dispatched,eob 9/23/19
9/21/19,5:45 PM,Engineering,P,10442672,"Double-shot Mocah dropped to bottom, didn't dispense, cust thinks charge stuck",9/23/19,Cate,120643307,Katrina has dispatched,eob 9/24/19
9/23/19,11:53 AM,Bear Creek A,P,2564599,Multiple CC failures to dispense,9/23/19,Cate,120643400,Katrina has dispatched,eob 9/24/19
9/24/19,10:31 AM,Wardenburg,P,10772479,"Move requested yesterday, will be on 9/30",9/24/19,Scott,n/a,Pepsi Scott emailed us back,request had 'rush' put on it.
9/23/19,1:54 PM,Wardenburg,C,67015,Javier Portillo requested move before 10/8,9/23/19,Cate,n/a,Emailed Ronda,"Spoke w/Ronda 9/24, will do 9/27"
9/24/19,5:00 PM,McKenna,C,66032,Reese's didn't fall after selection,9/25/19,Cate,n/a,Essie has dispatched,
9/25/19,1:39 PM,Wardenburg,C,67015,"Quarters getting stuck, no change w/o purchase, stuck with $1.00 credit",9/25/19,Cate,n/a,Essie has dispatched,
9/25/19,6:46 AM,Athens North,P,5609887,Will be moved back Mon 9/30,9/24/19,Scott,n/a,Scott emailed us,Per Brian Walton's request 9/18
9/24/19,3:57 PM,Athens North,C,66370,Will be moved back Fri 9/27,9/24/19,Ronda,n/a,Ronda emailed us,Per Brian Walton's request 9/18
9/26/19,5:27 PM,Norlin,C,67096,Not accepting cards for pmt,9/26/19,Cate,n/a,emailed canteen,Essie received & dispatched 9/27
9/26/19,11:26 PM,Baker,C,67462,"Readout ""insufficient credit""",9/27/19,Cate,n/a,Essie has dispatched,
10/1/19,10:00 AM,CUBS,P,11038360,"Not accepting bills, card cancelled due to coin return",10/2/19,Cate,120808330,Penny has dispatched,"Also work order in for move, no date, service 10/3/19"
10/1/19,8:00 AM,CUBS,P,11051329,"Circuit blown, please check for damage",10/2/19,Cate,120808374,Penny has dispatched,"Oct. 9 deadline due to lack of urgency, tech for other machine will probably look at it when they come today or tomorrow."
10/2/19,3:40 PM,Education,C,67358,"Entire bottom row ""not available""",10/2/19,Cate,n/a,Jeanne has dispatched,
10/2/19,8:26 PM,Bear Creek B,C,84140,Canteen having trouble getting in room 2176 to fill bill changer,10/3/19,Cate,n/a,Called Wendy @ Bear Creek,"Per Wendy, any access into bldg should allow access to that room"
10/3/19,2:35 PM,LASP,C,67088,"Not dispensing for cash pmt, no change back",10/3/19,Cate,n/a,Essie has dispatched,
10/3/19,6:02 PM,Engineering,C,67352,"CC ""insufficient funds"" on several occasions, may be an int'l card?",10/3/19,Cate,n/a,Emailed Canteen; dispatched 8:27a 10/4/19,
10/4/19,3:05 PM,Engineering,P,10442672,"Mt dew not dispensed, used CC",10/4/19,Linda,120888911,Diane will submit,
10/5/19,1:00 PM,Engineering,P,2564607,Customer paid with CC but product did not dispense.  Gave cust. Vending refund website information.,10/5/19,Kim V.,120894480,Kim has dispatched,EOB 10/7/19
10/7/19,8:18 AM,Baker,C,67462,"cc reader ""freaking Out""",10/7/19,Linda,,Jeanne will submit issue,
10/7/19,10:26 AM,Williams Vill. North,P,2564602,Not accepting credit cards,10/7/19,Linda,120904859,Jerry will dispatch,
10/5/19,4:54 PM,ENVD,C,69069,"Pringles stuck, bottom door jammed",10/7/19,Cate,n/a,Jeanne has dispatched,
10/7/19,11:29 AM,Engineering,P,10442672,"Failed to dispense, moved very slow & to wrong selection, no drink fell, arm continued to port & port didn't open",10/7/19,Cate,120888911,Cortina confirmed dispatch,eob 10/7! (had already been called in)
10/7/19,2:15 PM,Rec Center,C,68683,"""out of order"" sign",10/7/19,Jeanne,n/a,"Mike C told Jeanne, who told Cate when she called re: 69069",
10/8/19,2:56 PM,Engineering,P,10442672,Failed to dispense from C5,10/8/19,Cate,120888911,Andrea escalated the call,Also escalated 120894480 for 2564607
10/9/19,10:38 AM,Engineering,P,10442672,Failed to dispense product numerous tries,10/9/19,Linda,120949833,let them know of numerous claims,submit note about possible replace equipment
10/9/19,11:08 AM,Physics,P,2579752,"not dispensing product, takes cash",10/9/19,Linda,120950648,Roy has dispatched,Repaired evening of 10/10/19
10/9/19,12:09 PM,Muenzinger,P,8051844,"Card swipe won't allow selection, top LED goes blank.",10/9/19,Cate,120955631,Submitted request online in order to include email info,Also emailed Scott; eob 10/10/19
10/11/19,8:46 AM,Williams Vill. East,P,11369598,Aquafina not dispensing properly,10/11/19,Linda,120988859,Travis has dispatched,eob today
10/11/19,9:16 PM,Chey-Arapaho,P,2202753,"CC once, ""try diff. card,"" did, sees 2 charges",10/14/19,Cate,121019874,Drew has dispatched,"another call 10/13 Sun 7:58 pm, eob 10/15"
10/16/19,1:46 PM,Aerospace,C,69473,Not registering credit cards,10/16/19,Cate,n/a,Jeanne has dispatched,
10/16/19,2:25 PM,Bear Creek B,C,84140,Light blinking; out of change,10/16/19,Cate,n/a,Steve has dispatched,"Saw this on vending walk; access issue hopefully resolved per Sarah Bradley's email (Mike should have been close, if not finished with his route)"
10/16/19,2:50 PM,Libby,C,84070,Short-changed 50 cents for $1,10/16/19,Cate,n/a,Steve has dispatched,
10/16/19,3:54 PM,Chey-Arapaho,C,69934,Failed to dispense,10/16/19,Cate,n/a,Jeanne has dispatched,
10/17/19,11:55 AM,ARC,P,2563398,"CC looks tampered, jammed coin slot",10/17/19,Cate,121084462,Carolyn has dispatched,eob 10/18/19 Brittany added info re: jammed coins
10/17/19,2:56 PM,LASP,C,67145,What is fill schedule?,10/17/19,Cate,n/a,Message left by Steve for Jeanne,Ops Mgr unhappy w/2 empty columns
10/17/19,3:47 PM,Will Vill East,C,68408,Jerky from 103 stuck in coil,10/17/19,Cate,n/a,Steve has dispatched,
10/17/19,6:28 PM,Rec Center,P,10735614,Failed to dispense sweet tea,10/18/19,Cate,121103886,Lynn has dispatched,eob 10/21/2019 (Monday)
10/18/19,3:45 PM,Sewall,C,84203,Changer light is on,10/18/19,Cate,n/a,Jeanne has dispatched,eob Monday; asked caller to put up sign
10/21/19,3:18 PM,LASP,P,2565314,CC reader not working,10/21/19,Cate,121126150,Alexis has dispatched,eob 10/22/19
10/22/19,10:30 AM,Chey-Arapaho,P,2202753,USED CC NOT DISPENSE COFFEE,10/22/19,Linda,121139159,,eob 101/23/19
10/23/19,9:40 AM,McKenna,C,66032,"Stuck ""vending please wait""",10/22/19,Cate,n/a,Steve has dispatched,
10/23/19,2:55 PM,Wardenburg,P,10772479,"""Sold out,"" card reader blank, noisy",10/23/19,Cate,121171592,Carolyn has dispatched,eob 10/24/19
10/23/19,4:37 PM,ARC,C,66207,2 popcorn stuck at bottom of machine,10/23/19,Cate,n/a,,emailed Canteen
10/23/19,4:43 PM,Clare Small,C,69800,Elevator down for 2 weeks,10/23/19,Ronda,n/a,Ronda sent email to us,"Emailed bldg proctor Brian Michieli; only down since Monday, fixed 10/24 (Thursday)"
10/28/19,12:52 PM,Wardenburg,P,10772479,"Unknown, maybe power cord",10/28/19,Cate,121228479,Diana has dispatched,"Last call closed, opened new Emailed Scott @ Pepsi too"
10/29/19,2:58 PM,Clare Small,P,2582246,"$2 put in, credit decreased to $0, failed to dispense, no change back",10/30/19,Cate,121252268,Rachel has dispatched,"Advised campus close, don't come until tomorrow 10/30. eob 10/30"
10/30/19,10:40 AM,Chey-Arapaho,P,2202753,"CC, failed to dispense",10/30/19,Cate,121268614,Luis has dispatched,eob 10/31/19
10/31/19,1:44 PM,Regent,P,10436458,Low & expired product,10/31/19,Cate,n/a,Jerry has dispatched,
10/31/19,5:03 PM,Bear Creek B,C,84140,"Light ""still"" on",10/31/19,Cate,n/a,Emailed Canteen Repair,"CC'd Jeanne, who replied 11/1/19 7:40a & dispatched"
11/1/19,2:53 PM,Education,C,67358,Card reader problem: card approved + ,11/1/19,Cate,n/a,Jeanne has dispatched,Need to update w/phrase if customer emails
11/4/19,8:22 AM,Aerospace,C,69473,50% empty,11/4/19,Cate,n/a,Jeanne has dispatched,
11/5/19,1:25 PM,UMC,P,10356368,"""Cash only"" message",11/5/19,Cate,121352479,Andrew has dispatched,"eob 11/6, probably this afternoon though"
11/5/19,1:24 PM,UMC,C,67285,Stuck jerky @ coil,11/5/19,Cate,n/a,Jeanne has dispatched,
